MLRA,INRS,mean,median,n,sd,se,t.score,margErr,lb,ub,min,max
104,Perennial crops,21.794199104814492,16.370682992645374,423,11.583141166674276,0.5631915959319519,1.9656013636603176,1.1070101689658751,20.687188935848617,22.901209273780367,0.015467705935857555,3.4261155026627446
104,Riparian buffers,9.663187226201664,12.270302531237842,220,5.35273605343471,0.3608813911027719,1.9708553671594704,0.7112450265628739,8.95194219963879,10.374432252764539,0.005618752793153361,125.97562048986472
104,Rye cover crops,51.55638835286933,53.60454007052357,416,2.6817984467402947,0.13148598664857292,1.965696725008065,0.25846157333955394,51.297926779529774,51.81484992620888,0.056623055018972905,2.1008614397836785
104,Treatment wetlands,31.574683373286387,31.89258537103919,68,13.181722254318057,1.598518623003185,1.9960083540252969,3.1906565255793713,28.384026847707016,34.76533989886576,0.044712393652701694,2.2289840425494782
105,Perennial crops,15.802337565280997,11.564016849685075,195,9.683078269252407,0.6934196375099657,1.9722675325821337,1.3676090375157777,14.43472852776522,17.169946602796774,0.02092478967865305,3.2408865161968237
105,Riparian buffers,NA,NA,6,NA,NA,2.5705818356363146,NA,NA,NA,0.006335299726003279,1.3682012927241922
105,Rye cover crops,51.97242023136432,53.6049247887099,83,2.6050309447704874,0.28593929390297645,1.9893185571365726,0.5688243435757195,51.4035958877886,52.54124457494004,0.05796167782051649,0.7017099113768717
105,Treatment wetlands,33.87622948328107,30.470909377904665,11,14.298265334991799,4.311089206283005,2.2281388519862744,9.605705354897832,24.27052412838324,43.4819348381789,0.053765626254641555,0.29960074706973494
108c,Perennial crops,22.3350586849735,13.702074653611598,2183,14.0467515331912,0.3006415712951929,1.9610517779885748,0.589573687925717,21.745484997047782,22.924632372899218,0.015895224819940705,5.350522853830574
108c,Riparian buffers,7.189870491115032,6.43722750568489,1401,4.938211694777677,0.1319321488237305,1.961659904972427,0.25880600652436725,6.931064484590665,7.4486764976394,0.0013046620021609436,3277.4800257800857
108c,Rye cover crops,51.81395912814847,53.60490187608903,2233,2.74231750251503,0.05803277979681,1.9610273968625398,0.1138038710976353,51.70015525705083,51.927762999246106,0.04874905845168151,3.920287419232833
108c,Treatment wetlands,31.02590113741265,29.243569299809145,348,11.94052958173918,0.6400795718592033,1.9668240032621513,1.258923865930442,29.766977271482208,32.284825003343094,0.03529483354235008,1.539356324849086
115c,Perennial crops,18.288465035609473,11.707459846254517,15,12.681493806964594,3.274347621293758,2.1447866879178044,7.02277718976618,11.265687845843292,25.311242225375654,0.022954644755854473,0.4523551212985761
115c,Rye cover crops,53.36441028967892,53.60581892040776,15,0.9344892311769293,0.2412840819705613,2.1447866879178044,0.5175028870169283,52.84690740266199,53.88191317669585,0.05401516876914292,0.8549223252831224
115c,Treatment wetlands,35.678617274660546,35.678617274660546,1,NA,NA,NA,NA,NA,NA,0.20175775377062502,0.20175775377062502
