HUC12,sum_hectares,sum_bioYield,sum_enPot,mean_time,mean_dist
070600060901,291.46982442227437,1195.171897387,7273.952996268,46.020612105405405,59.509262148648645
070600061002,408.90853252043746,1361.29691597,11077.89646644,43.146184984347826,51.01334105173913
070801010301,3213.4009424121664,10614.349275339,87563.101244036,NA,NA
070801010302,441.86129660208724,1441.124299957,12168.999539264,22.434095498461538,33.458861668846154
070801010403,732.1740902415514,2580.409533942,19709.040051956,25.493075882666666,40.05556721233334
070801010405,1166.6992149224234,3782.757968406,32011.195725222,23.843776868611112,37.71111898097222
070801010601,683.1570381427606,2092.55082115,18956.551031468,23.40354134238095,35.763212266507935
070801010602,2782.131887699166,8763.41736227,77036.409564487,NA,NA
070801010603,465.16167205739106,1424.832617774,12954.44368025,27.48165231974359,33.29620199717949
070801010604,1069.8841117656307,3256.912333392,29836.159591133,26.76875280703125,38.59242053828125
070801010605,889.5595731069814,2834.636356406,24416.657429404,NA,NA
070801030202,3220.3507067171467,10238.137054066001,88393.895435646,32.868027311875,43.40744903651786
070801030203,60.03534964618646,208.12354276,1602.9047318000003,35.958051354999995,48.984205180000004
070801030301,4637.043568205672,14398.442215429,128144.514022788,NA,NA
070801030302,1943.388112855063,6257.448111656,53217.660129198,18.611046186372548,23.501124180686276
070801030303,5772.745569883602,18994.262853856,156735.795183761,8.237763009225,10.166665592378571
070801030401,3284.1094887265945,10356.14409333,90519.113876259,34.977912354910714,40.781499567321426
070801030402,1450.1568320369224,5181.73021553,38212.291463178,43.73534333745763,49.01317558364407
070801030403,1846.0659048544421,6252.769116451,49602.401847153,37.441365686868686,40.466741268383835
070801030404,933.2674559844926,2670.882518837,26519.148709814,32.26575470066667,36.80045681488889
070801030405,2896.292745361035,10047.740918621,76722.146499921,39.66771965738095,45.563022340714284
070801030406,6115.732024923234,22293.908476786,160798.686911515,24.492579683704918,29.729395397180326
070801030407,4591.192140120782,16249.470950349,122280.166379886,NA,NA
070801030408,2131.418372894298,7560.957393171,56883.103039869,NA,NA
070801030409,1790.8938273460608,5634.999043594,48859.276560159,23.18867589045361,26.779639290824743
070801030601,1814.1802139293484,6667.74337481,47452.376056635,41.03997833198413,53.65596088738095
070801030602,1693.258924387726,4954.604522064,47780.543490511,36.50123520828283,53.165583004646464
070801030603,2795.693043204819,9148.247871819,75212.054032088,NA,NA
070801030604,256.1226833859698,792.590739268,6930.0057145,37.42182815,61.45591067466667
070801030605,1289.1376829059095,4357.100051245,34449.136710454,28.997309684102564,44.04943945551282
070801030606,1323.569251955618,4429.923549119,35015.62402968,28.9103148145,44.804018702
070801030607,791.1722213874342,2671.903667055,21267.013982157,32.669864866875,50.84541600895833
070802060301,1685.2261549664845,5313.14195141,46362.182011428,32.18240783842105,40.79751212140351
070802060302,2942.43163422025,9634.041198563,80412.880002009,NA,NA
070802060406,1275.3036200324896,4232.273231641,35135.906696444,29.599582265081967,38.42693626327869
070802060407,614.808086466037,2055.5039285899998,16657.616967225,29.000395874864864,42.90867751081081
070802060501,3817.018032873684,12145.474563571,104870.494258813,14.843598263632185,17.36354745287931
070802060502,5611.857405046502,17495.204751408,155654.827929297,NA,NA
070802060503,1490.638103168362,4382.316924006,41619.678664146,20.7779575864,25.7235698808
070802060601,4678.93995478526,14714.538376726,129272.717361227,14.030006390175757,17.354744654
070802060602,6451.113501984791,22094.809305571,174378.039563318,23.480448936108786,30.42319424376569
070802060603,4157.1569224747245,13707.883462339,112149.924075149,NA,NA
070802060704,2644.1088094513366,9287.657412917,70015.642185488,NA,NA
070802060801,2319.0531931247992,7880.697453986,62594.271255666004,NA,NA
070802060802,1660.8404267078342,5012.416597505,46168.521946215,NA,NA
070802060803,2026.4503304204286,6435.26741078,55559.587761878,NA,NA
070802060804,1696.7172274048392,5201.278631091,47202.971352807,27.330705415346536,40.88155003435644
070802060805,296.45568507353016,856.378395,8371.03909505,28.325917941,42.156854688
