huc12,no3,sediment,wildlife,co2,n2o,dc,tc,dcN,tcN,dcs,tcs,yield,energy,traveld,travelt,,
70801030408,,,1,,,$1 ,,$1.00 ,$1.00 ,$1.00 ,$1.00 ,,,1,1,8,$4.00 
70801010403,,,,,,$0 ,,$1.00 ,$1.00 ,$1.00 ,$1.00 ,,,,,4,$4.00 
70600060901,,,,,,$0 ,,$1.00 ,$1.00 ,$1.00 ,$1.00 ,,,,,4,$4.00 
70801030607,,,,,,$0 ,,$1.00 ,$1.00 ,$1.00 ,,,,,,3,$3.00 
70600061002,,,,,,$0 ,,,$1.00 ,$1.00 ,$1.00 ,,,,,3,$3.00 
70801030406,1,1,1,1,1,$5 ,,$1.00 ,$1.00 ,,,1,1,,,14,$2.00 
70801030405,,,1,,,$1 ,,$1.00 ,$1.00 ,,,,,,,4,$2.00 
70801030403,,,,,,$0 ,,$1.00 ,$1.00 ,,,,,,,2,$2.00 
70801030402,,,,,,$0 ,,$1.00 ,$1.00 ,,,,,,,2,$2.00 
70801010602,,,1,,,$1 ,,,,$1.00 ,$1.00 ,,,1,,5,$2.00 
70801010301,,,,,,$0 ,,,,$1.00 ,$1.00 ,,,,1,3,$2.00 
70801010601,,,,,,$0 ,,,,$1.00 ,$1.00 ,,,,,2,$2.00 
70802060801,,,,,,$0 ,,,,$1.00 ,$1.00 ,,,,,2,$2.00 
70802060407,,,,,,$0 ,,,,$1.00 ,$1.00 ,,,,,2,$2.00 
70801030605,,,,,,$0 ,,$1.00 ,,,,,,,,1,$1.00 
70801030404,,,,,,$0 ,,$1.00 ,,,,,,,,1,$1.00 
70801030601,,,,,,$0 ,,,$1.00 ,,,,,,,1,$1.00 
70802060302,,1,,,,$1 ,,,,,$1.00 ,,,,,3,$1.00 
70802060601,1,1,1,1,1,$5 ,,,,,,1,1,1,1,14,$0.00 
70801030407,1,1,1,1,1,$5 ,,,,,,1,1,1,1,14,$0.00 
70802060602,1,1,1,1,1,$5 ,,,,,,1,1,,,12,$0.00 
70801030303,1,1,,1,1,$4 ,,,,,,1,1,1,1,12,$0.00 
70802060502,1,1,,1,1,$4 ,,,,,,1,1,1,1,12,$0.00 
70802060501,1,1,,1,1,$4 ,,,,,,1,1,1,1,12,$0.00 
70802060603,1,1,,1,1,$4 ,,,,,,1,1,,1,11,$0.00 
70801030301,1,,-,1,1,$3 ,,,,,,1,1,1,1,10,$0.00 
70801030401,,,1,1,1,$3 ,,,,,,1,1,,,8,$0.00 
70802060704,,1,1,,,$2 ,,,,,,,,,,4,$0.00 
70802060802,,,1,,,$1 ,,,,,,,,,,2,$0.00 
70801030603,1,,,,,$1 ,,,,,,,,,,2,$0.00 
70801030302,,,,,,$0 ,,,,,,,,1,1,2,$0.00 
70802060503,,,,,,$0 ,,,,,,,,1,,1,$0.00 
70801010302,,,,,,$0 ,,,,,,,,,,0,$0.00 
70801030409,,,,,,$0 ,,,,,,,,,,0,$0.00 
70802060803,,,,,,$0 ,,,,,,,,,,0,$0.00 
70801010405,,,,,,$0 ,,,,,,,,,,0,$0.00 
70801010603,,,,,,$0 ,,,,,,,,,,0,$0.00 
70801010604,,,,,,$0 ,,,,,,,,,,0,$0.00 
70802060804,,,,,,$0 ,,,,,,,,,,0,$0.00 
70802060805,,,,,,$0 ,,,,,,,,,,0,$0.00 
70801030606,,,,,,$0 ,,,,,,,,,,0,$0.00 
70802060406,,,,,,$0 ,,,,,,,,,,0,$0.00 
70801010605,,,,,,$0 ,,,,,,,,,,0,$0.00 
70802060301,,,,,,$0 ,,,,,,,,,,0,$0.00 
70801030202,,,,,,$0 ,,,,,,,,,,0,$0.00 
70801030203,,,,,,$0 ,,,,,,,,,,0,$0.00 
70801030602,,,,,,$0 ,,,,,,,,,,0,$0.00 
70801030604,,,,,,$0 ,,,,,,,,,,0,$0.00 
