MLRA,INRS,sumDC,sumOC,sumTC,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,meanDC_kgNO3,minDC_kgNO3,maxDC_kgNO3,meanTC_kgNO3,minTC_kgNO3,maxTC_kgNO3,opAcres,n
104,Perennial crops,2586466.7902193,3154069.4427089,5740536.2430231,6115,309,50902,7456,173,63978,13571,605,114880,9.995005922070305,3.110821143098638,16.211084274033567,21.794199104814492,5.720927561673723,68.34202085188286,6305.463248099261,423
104,Riparian buffers,13532.8964537,34267.2354124,18672.981872700002,588,483,774,1490,898,1961,812,666,1068,2.7562619527320424,0.48342742025431074,4.908330381586192,3.7923007664310973,0.6671298388605684,6.748623910461148,8.399652912034405,23
104,Rye cover crops,5419143.510207,7779863.6611371,5419143.510207,13027,1143,52296,18702,877,70549,13027,1143,52296,51.55638835286933,44.65265147353346,55.28914026000726,51.55638835286933,44.65265147353346,55.28914026000726,11727.548174695361,416
104,Treatment wetlands,3737007.01963,245791.2635587,3982798.25397,54956,10418,357663,3615,599,23820,58571,11130,381483,29.653189078491714,11.421880071442502,68.14386621630024,31.574683373286387,12.202166701679076,72.91500579589169,396.1012106110836,68
105,Perennial crops,564695.4398873,625020.5994814,1189716.042773,2896,292,32136,3205,212,39560,6101,505,63259,7.375820984947909,3.0111012961447274,16.211357738503064,15.802337565280997,5.760783109464453,44.86146331769482,1376.6526407170627,195
105,Rye cover crops,640132.767235,682460.28369,640132.767235,7712,1937,26529,8222,1328,32587,7712,1937,26529,51.97242023136432,44.653808329361745,53.6106761900132,51.97242023136432,44.653808329361745,53.6106761900132,1385.308927988032,83
105,Treatment wetlands,371725.43262,22859.2376725,394584.67579,33793,15712,72200,2078,993,3514,35871,16705,75713,31.91073698125293,15.617248299998007,65.29722963574372,33.87622948328107,16.60402223726129,69.14426072551568,39.40075389196992,11
108c,Perennial crops,10668163.0266517,16869745.971503,27537908.9476959,4891,194,62179,7735,134,112342,12626,466,174521,8.921523265257715,2.655683268528852,18.178666396410073,22.3350586849735,5.402937418049841,75.4843852453413,26007.56760769789,2181
108c,Riparian buffers,61425.2893985,159258.82623756,85314.1131582,608,437,872,1577,59,2499,845,590,1247,1.9888579536579138,0.43775323426657836,6.407032734998267,2.7690098285874307,0.4933335930753706,9.162057032164,38.1256972741504,101
108c,Rye cover crops,25230779.34206,35811688.8367671,25230779.34206,11299,254,83608,16037,359,128265,11299,254,83608,51.81395912814847,44.653225648844355,58.49478446892956,51.81395912814847,44.653225648844355,58.49478446892956,54601.835098500145,2233
108c,Treatment wetlands,16589649.59709,1143352.4571662,17733002.03644,47671,11441,316987,3285,480,24359,50957,12184,341346,29.04887843662368,8.868214132602162,87.20048634119541,31.02590113741265,9.413407114794673,93.3803454552327,1758.407263809937,348
115c,Perennial crops,25537.2324212,33072.6676642,58609.8998384,1702,399,7597,2205,257,9847,3907,724,17443,8.251773073192252,3.7104814055523847,16.210453696621943,18.288465035609473,7.771999306601797,41.67844171223976,62.25638756220148,15
115c,Rye cover crops,84104.81128,98033.979732,84104.81128,5607,2190,15676,6536,1966,18583,5607,2190,15676,53.36441028967892,49.98643645902407,53.60784207135833,53.36441028967892,49.98643645902407,53.60784207135833,182.0109089352358,15
115c,Treatment wetlands,22661.20703,1160.956421,23822.16406,22661,22661,22661,1161,1161,1161,23822,23822,23822,33.93984402797439,33.93984402797439,33.93984402797439,35.678617274660546,35.678617274660546,35.678617274660546,2.4019572717843523,1
