MLRA,INRS,sumDC,sumOC,sumTC,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,meanDC_kgSed,minDC_kgSED,maxDC_kgSED,meanDC_kgSED,opAcres,n
104,Perennial crops,2586466.7902193,3154069.4427089,5740536.2430231,6115,309,50902,7456,173,63978,13571,605,114880,0.3129085537737919,0.015467705935857555,3.4261155026627446,0.6712202404536421,6305.463248099261,423
104,Riparian buffers,131984.8185728,334352.04981937,182137.6260983,600,426,888,1520,70,2310,828,538,1235,1.1538474326786716,0.002395359117869393,48.64058624706632,1.596648577336883,81.92087168469472,220
104,Rye cover crops,5419143.510207,7779863.6611371,5419143.510207,13027,1143,52296,18702,877,70549,13027,1143,52296,0.5480098381097906,0.056623055018972905,2.1008614397836785,0.5480098381097906,11727.548174695361,416
104,Treatment wetlands,3737007.01963,245791.2635587,3982798.25397,54956,10418,357663,3615,599,23820,58571,11130,381483,0.5103235722679149,0.044712393652701694,2.2289840425494782,0.5422731214937981,396.1012106110836,68
105,Perennial crops,564695.4398873,625020.5994814,1189716.042773,2896,292,32136,3205,212,39560,6101,505,63259,0.09808293748462955,0.02092478967865305,3.2408865161968237,0.22734881811580757,1376.6526407170627,195
105,Riparian buffers,3150.1359864,7751.889771,4312.9193725000005,525,477,570,1292,1160,1386,719,650,778,0.0826689652881365,0.0025187438955193947,0.5439596408751065,0.11296611787529558,1.9552391763264438,6
105,Rye cover crops,640132.767235,682460.28369,640132.767235,7712,1937,26529,8222,1328,32587,7712,1937,26529,0.22687441082752924,0.05796167782051649,0.7017099113768717,0.22687441082752924,1385.308927988032,83
105,Treatment wetlands,371725.43262,22859.2376725,394584.67579,33793,15712,72200,2078,993,3514,35871,16705,75713,0.1548375322890042,0.053765626254641555,0.29960074706973494,0.16443426565430036,39.40075389196992,11
108c,Perennial crops,10693177.53808369,16913467.32239918,27606644.81002407,4898,10,62179,7748,19,112342,12646,29,174521,0.164933852237297,0.015895224819940705,5.350522853830574,0.42101875226215596,26068.54966939997,2183
108c,Riparian buffers,820522.714324,2042863.8319704,1126952.2900103999,586,372,1031,1458,17,2734,804,391,1302,1.6860219495487994,0.0011198349255476198,1212.102842348151,2.2510836348180976,509.2853601724224,1401
108c,Rye cover crops,25230779.34206,35811688.8367671,25230779.34206,11299,254,83608,16037,359,128265,11299,254,83608,0.3466948194021491,0.04874905845168151,3.920287419232833,0.3466948194021491,54601.835098500145,2233
108c,Treatment wetlands,16589649.59709,1143352.4571662,17733002.03644,47671,11441,316987,3285,480,24359,50957,12184,341346,0.35360379330806513,0.03529483354235008,1.539356324849086,0.37815669041311883,1758.407263809937,348
115c,Perennial crops,25537.2324212,33072.6676642,58609.8998384,1702,399,7597,2205,257,9847,3907,724,17443,0.05747516259599757,0.022954644755854473,0.4523551212985761,0.13024561993575642,62.25638756220148,15
115c,Rye cover crops,84104.81128,98033.979732,84104.81128,5607,2190,15676,6536,1966,18583,5607,2190,15676,0.22627716954941535,0.05401516876914292,0.8549223252831224,0.22627716954941535,182.0109089352358,15
115c,Treatment wetlands,22661.20703,1160.956421,23822.16406,22661,22661,22661,1161,1161,1161,23822,23822,23822,0.19192522629717365,0.20175775377062502,0.20175775377062502,0.20175775377062502,2.4019572717843523,1
