MLRA,INRS,sumDC,sumOC,sumTC,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,meanDC_kgSED,minDC_kgSED,maxDC_kgSED,meanTC_kgSED,minTC_kgSED,maxTC_kgSED,opArea_ha,n
104,Perennial crops,596153.98385544,2896596.9625464,3492750.9341161,1718,72,12572,8348,207,63978,10066,279,76550,0.08712544613945883,0.0025098941387423634,0.38049233412280054,0.48668341999617004,0.010996507245146742,2.4071174821525827,5884.272463100707,347
104,Riparian buffers,103239.6586909,334352.04981937,437591.70851027,469,333,695,1520,70,2310,1989,482,3005,0.9025493791013862,0.0013479645374842358,27.37200454599523,3.8545570520015215,0.005220538864911964,118.35439824798891,81.92087168469472,220
104,Rye cover crops,1680803.8671559999,7779863.6611371,1680803.8671559999,4040,355,16220,18702,877,70549,4040,355,16220,0.1699709658375817,0.017562230668011825,0.651604094120207,0.1699709658375817,0.017562230668011825,0.651604094120207,11727.548174695361,416
104,Treatment wetlands,2792477.985943,245791.2635587,3038269.214963,41066,7785,267263,3615,599,23820,44680,8497,291084,0.38133922249034496,0.031200185295664557,1.59349599934214,0.41328877274142084,0.03415922877577564,1.6899994408070276,396.1012106110836,68
105,Perennial crops,181376.34342884,870812.2800376,1052188.6236739,672,76,7937,3225,173,39560,3897,355,45413,0.02658467235933517,0.0020494308510189863,0.31863303295584233,0.1662320500007129,0.009056485826913572,2.26944435908382,1790.2552868838761,270
105,Riparian buffers,2464.0634462,7751.889771,10215.9532172,411,373,446,1292,1160,1386,1703,1532,1832,0.06466437522263348,0.001443357983451477,0.3117142134269309,0.26664539081832545,0.005933423526970426,1.2814102800999567,1.9552391763264438,6
105,Rye cover crops,198543.8518716,682460.28369,198543.8518716,2392,601,8228,8222,1328,32587,2392,601,8228,0.07036746406880634,0.01797741928260138,0.21764264782001935,0.07036746406880634,0.01797741928260138,0.21764264782001935,1385.308927988032,83
105,Treatment wetlands,277771.78126,22859.2376725,300631.02149,25252,11741,53951,2078,993,3514,27330,12734,57465,0.11570232658924141,0.03778868329900827,0.2092274187659247,0.12529905870360217,0.040983967537294275,0.22883158490403283,39.40075389196992,11
108c,Perennial crops,2641854.797289008,16895007.12142128,19536861.92765765,1210,3,15358,7736,19,112342,8945,21,127699,0.04072021252718837,0.002299915833693292,0.6199562180144548,0.2961818270486434,0.00888328430290628,3.484095904977123,26076.13780823171,2184
108c,Riparian buffers,641819.9137595,2042863.8319704,2684683.7457299,458,291,806,1458,17,2734,1916,362,3432,1.3188208394279413,7.113011816351717e-4,663.0191556002599,5.085898558332356,0.0010678752263634584,3092.8746760263766,509.2853601724224,1401
108c,Rye cover crops,7825589.3002115805,35811688.8367671,7825589.3002115805,3505,79,25932,16037,359,128265,3505,79,25932,0.10753101340264137,0.015120028541932812,1.2159180221901857,0.10753101340264137,0.015120028541932812,1.2159180221901857,54601.835098500145,2233
108c,Treatment wetlands,12396613.444526,1143352.4571662,13539965.885996,35622,8549,236868,3285,480,24359,38908,9292,261228,0.2642303872679383,0.024766871385936716,1.0933374175012704,0.2887832847290695,0.02691767513749001,1.1695453066287873,1758.407263809937,348
115c,Perennial crops,6307.3885419,32869.6276559,39177.0158689,420,99,1876,2191,257,9847,2612,372,11723,0.014195672361136617,0.0035809204567640025,0.04378939115423109,0.08612615094682488,0.011802084573721755,0.31885087629976083,62.25638756220148,15
115c,Rye cover crops,26085.9844971,98033.979732,26085.9844971,1739,679,4862,6536,1966,18583,1739,679,4862,0.07018222388173175,0.016753368390587303,0.2651630628847271,0.07018222388173175,0.016753368390587303,0.2651630628847271,182.0109089352358,15
115c,Treatment wetlands,16933.58398,1160.956421,18094.54102,16934,16934,16934,1161,1161,1161,18095,18095,18095,0.14341610016982817,0.14341610016982817,0.14341610016982817,0.15324862772797285,0.15324862772797285,0.15324862772797285,2.4019572717843523,1
